id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOHuOJl9x8ia-fLbONIvZ0bpT-VbImbWJV4hWGKawpKxUIOI4sGGOUqw0SV7ehnWEAeauKotrPQVTw8n7w,F Powell,https://lh5.googleusercontent.com/-FSDSDzfsOlE/AAAAAAAAAAI/AAAAAAAAACs/_uRE9BbVPXo/w96-h96-p/photo.jpg,"August 3, 2015",https://play.google.com/store/apps/details?id=com.stressreliefpig.app&reviewId=Z3A6QU9xcFRPSHVPSmw5eDhpYS1mTGJPTkl2WjBicFQtVmJJbWJXSlY0aFdHS2F3cEt4VUlPSTRzR0dPVXF3MFNWN2VobldFQWVhdUtvdHJQUVZUdzhuN3c,5,Not just for stress (for me),"Not just for stress (for me) When I am in pain, because of the pigs reaction it made me laugh!L😅L",undefined,undefined
gp:AOqpTOG2ONqG0Dckh4JE_AcyjgRuooMYPA47BzmFSBfZrvelEwMf8C1o5yrb9W-o6elpHDSxygDgIhngYHZngg,Carmen Bernu,https://lh5.googleusercontent.com/-32ZjOJdkUWs/AAAAAAAAAAI/AAAAAAAAMxU/7Lzl1kC40QM/w96-h96-p/photo.jpg,"September 14, 2014",https://play.google.com/store/apps/details?id=com.stressreliefpig.app&reviewId=Z3A6QU9xcFRPRzJPTnFHMERja2g0SkVfQWN5amdSdW9vTVlQQTQ3QnptRlNCZlpydmVsRXdNZjhDMW81eXJiOVctbzZlbHBIRFN4eWdEZ0lobmdZSFpuZ2c,5,This is the funniest thing EVER!,"This is the funniest thing EVER! Ok,  this is probably the dumbest thing ever,  but it made me laugh so hard!  Lol!  Get this just for the fun of it!",undefined,undefined
gp:AOqpTOFRcenM1Zl4y6t5Ry1nY7lolIky34Zq1-6dCX1NP94nENM5L9bbKb8nyuKJZmS31L-UMcU26m5G64CyzA,Rovin Figueroa,https://lh4.googleusercontent.com/-TcRFjvVrP7M/AAAAAAAAAAI/AAAAAAAAAFs/JPybkwgT5yQ/w96-h96-p/photo.jpg,"May 11, 2016",https://play.google.com/store/apps/details?id=com.stressreliefpig.app&reviewId=Z3A6QU9xcFRPRlJjZW5NMVpsNHk2dDVSeTFuWTdsb2xJa3kzNFpxMS02ZENYMU5QOTRuRU5NNUw5YmJLYjhueXVLSlptUzMxTC1VTWNVMjZtNUc2NEN5ekE,3,The original is better,"The original is better The original flash is way better with the colors in the background and its kinda faster when it waves than this app. It would be better if this app behaves like the original one... anyway i give it 3 stars for n0w,",undefined,undefined
gp:AOqpTOH5T_IqRiDuJ8nNnhSkqWJjFuXY19xpGRN0LzhpRhELf64iTvctFoAD5TrONXZr5O7gMWEs1D_A-g_gMQ,Zak Foz,https://lh6.googleusercontent.com/-2e_C8Ri5OEI/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVyC5cwKc4A7E3PqYcJyr8ZVRYbkA/w96-h96-p/photo.jpg,"June 23, 2017",https://play.google.com/store/apps/details?id=com.stressreliefpig.app&reviewId=Z3A6QU9xcFRPSDVUX0lxUmlEdUo4bk5uaFNrcVdKakZ1WFkxOXhwR1JOMEx6aHBSaEVMZjY0aVR2Y3RGb0FENVRyT05YWnI1TzdnTVdFczFEX0EtZ19nTVE,5,,This app is a life saver. Stoped me from commiting suicide twice,undefined,undefined
gp:AOqpTOE00eQRM56h6wbBw835oWxSQO7udfOa1gV1RXQKntmEnYjII117IcwJJvj-DY7z7vdjauA2sQ5I3Mq7uQ,Jjai Elf Gemini The Fanged Faerie Q,https://lh4.googleusercontent.com/-_A4i3TPVyIM/AAAAAAAAAAI/AAAAAAAAAFw/pfoSAqmAeBQ/w96-h96-p/photo.jpg,"July 30, 2015",https://play.google.com/store/apps/details?id=com.stressreliefpig.app&reviewId=Z3A6QU9xcFRPRTAwZVFSTTU2aDZ3YkJ3ODM1b1d4U1FPN3VkZk9hMWdWMVJYUUtudG1FbllqSUkxMTdJY3dKSnZqLURZN3o3dmRqYXVBMnNRNUkzTXE3dVE,5,,Excellent!!! Made me lol. I needed that silly a$$ laugh.,undefined,undefined
gp:AOqpTOF_OqpLTzM0Nun6dz5Cst_mJ9F1TcPAeUgD0XrBWXcqZYHK-RlZRqv9og_j3_EpShy0zDfr_IQbga5OKA,Kalen Hon,https://lh6.googleusercontent.com/-HmVQHy4KDqQ/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjV8gZWf8yCKU4HXGa5graE__A7NIA/w96-h96-p/photo.jpg,"May 13, 2014",https://play.google.com/store/apps/details?id=com.stressreliefpig.app&reviewId=Z3A6QU9xcFRPRl9PcXBMVHpNME51bjZkejVDc3RfbUo5RjFUY1BBZVVnRDBYckJXWGNxWllISy1SbFpScXY5b2dfajNfRXBTaHkwekRmcl9JUWJnYTVPS0E,5,Sweet,"Sweet It made my friends baby sis laugh sooooo hard I think to anyone who likes funny stuff and has a sense of humor,u should download it",undefined,undefined
gp:AOqpTOHOW1Cm0_AfYosfrC1EHomF0-o3j0PjORO9N9DoyjxAe4eDLJ7qqiNU6o5SbpCNYsBlYKmz5_kfq_dNWA,Agapi Kourkounakis,https://lh6.googleusercontent.com/-aa4DPhzRJbs/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVMOHs26l031FlbKVp5tnfgYVsAHA/w96-h96-p/photo.jpg,"September 5, 2015",https://play.google.com/store/apps/details?id=com.stressreliefpig.app&reviewId=Z3A6QU9xcFRPSE9XMUNtMF9BZllvc2ZyQzFFSG9tRjAtbzNqMFBqT1JPOU45RG95anhBZTRlRExKN3FxaU5VNm81U2JwQ05Zc0JsWUttejVfa2ZxX2ROV0E,5,I loved it,I loved it At first I just thought it wasn't gonna do anything but it made me crack up it scared the poop out of me,undefined,undefined
gp:AOqpTOEsNBtXDRttLcr8TKfKOiawVYQ_bYAHREmqmMPnlQ97CMXce57TMWJNYHcwHirIodl3Ir0LmFa0yBh9nw,Mikaela Robbins,https://lh4.googleusercontent.com/-pBlaRdt-hzw/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjV_ZWWgmjajqiVXUSCjbmVgniam0Q/w96-h96-p/photo.jpg,"July 25, 2013",https://play.google.com/store/apps/details?id=com.stressreliefpig.app&reviewId=Z3A6QU9xcFRPRXNOQnRYRFJ0dExjcjhUS2ZLT2lhd1ZZUV9iWUFIUkVtcW1NUG5sUTk3Q01YY2U1N1RNV0pOWUhjd0hpcklvZGwzSXIwTG1GYTB5Qmg5bnc,3,Haaaaaaa,Haaaaaaa The pig scared the fudge out of me stress reliever my but hey but it's good for scared people,undefined,undefined
gp:AOqpTOGD049pa58qf-Pd7UDucfUc7ViHIoOh1UHKgrM-TjDmpQKGeYQt5IiK3UpnWsD66GE_qY1Mt4--dFXjGA,Kylie DeLorey,https://lh5.googleusercontent.com/-0loAryO3UYw/AAAAAAAAAAI/AAAAAAAAQyQ/MqqQgZxe6_Q/w96-h96-p/photo.jpg,"February 9, 2015",https://play.google.com/store/apps/details?id=com.stressreliefpig.app&reviewId=Z3A6QU9xcFRPR0QwNDlwYTU4cWYtUGQ3VUR1Y2ZVYzdWaUhJb09oMVVIS2dyTS1UakRtcFFLR2VZUXQ1SWlLM1VwbldzRDY2R0VfcVkxTXQ0LS1kRlhqR0E,1,,All this pig does is scream. I isn't very fun,undefined,undefined
gp:AOqpTOH4JrFw_J0l-13mVTTqKmhCRfu1VJqw2gEaM_VYIhB1V8XCa0SBS6wESHPQRIvAP_y_1J6Gasce5GS53A,joanna tiethoff,https://lh6.googleusercontent.com/-Tpf1OIB3UEI/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWHGsmCvnmWzhVgtDBkusJ_j_WH6Q/w96-h96-p/photo.jpg,"December 5, 2014",https://play.google.com/store/apps/details?id=com.stressreliefpig.app&reviewId=Z3A6QU9xcFRPSDRKckZ3X0owbC0xM21WVFRxS21oQ1JmdTFWSnF3MmdFYU1fVllJaEIxVjhYQ2EwU0JTNndFU0hQUVJJdkFQX3lfMUo2R2FzY2U1R1M1M0E,4,,"So funny,basically you touch it and it screams LOL",undefined,undefined
